Index;ID_useku;ID_uzol1;ID_uzol2;dlzka_useku
0;0;112;41;1015
1;1;41;23;704
2;2;23;33;451
3;3;33;25;617
4;4;25;42;654
5;5;42;38;521
6;6;38;37;705
7;7;37;9;755
8;8;9;95;722
9;9;95;96;662
10;10;96;94;501
11;11;94;93;1018
12;12;93;92;696
13;13;92;91;1060
14;14;91;126;679
15;15;126;77;406
16;16;77;78;615
17;17;78;79;592
18;18;79;52;928
19;19;52;50;310
20;20;50;51;592
21;21;51;33;866
22;22;33;23;366
23;23;23;41;838
24;24;41;112;859
25;25;49;122;513
26;26;122;120;471
27;27;120;123;1231
28;28;123;125;291
29;29;125;124;384
30;30;124;41;440
31;31;33;39;441
32;32;39;38;734
33;33;38;42;586
34;34;42;25;796
35;35;25;33;513
36;36;41;124;329
37;37;124;125;380
38;38;125;123;619
39;39;123;120;1003
40;40;120;122;346
41;41;122;49;567
42;42;9;119;419
43;43;119;9;388
44;44;9;37;454
45;45;37;38;912
46;46;33;27;431
47;47;27;51;488
48;48;51;50;267
49;49;50;52;437
50;50;52;79;965
51;51;79;78;605
52;52;78;77;556
53;53;77;126;450
54;54;126;91;736
55;55;91;92;1066
56;56;92;94;761
57;57;94;96;507
58;58;94;92;795
59;63;93;94;606
60;64;96;95;532
61;65;95;9;804
62;103;30;17;863
63;104;17;46;1001
64;118;46;17;654
65;119;17;30;1060
66;120;30;25;735
67;132;23;39;861
68;133;42;30;622
69;142;30;42;841
70;143;46;98;1688
71;144;98;99;465
72;145;99;98;481
73;146;98;46;1686
74;151;38;34;532
75;152;34;28;645
76;173;28;34;668
77;174;34;38;625
78;176;39;23;895
79;192;92;162;865
80;193;162;9;696
81;228;112;116;563
82;229;116;49;1180
83;230;49;116;1113
84;231;116;112;591
85;256;79;76;605
86;257;76;6;344
87;258;6;8;458
88;259;8;7;426
89;260;7;37;690
90;261;39;37;335
91;262;37;7;841
92;263;7;8;345
93;264;8;6;575
94;265;6;76;284
95;266;76;79;615
96;267;51;39;683
97;268;92;93;1009
98;269;37;39;493
99;270;39;27;336
100;271;28;96;1073
101;272;96;28;1048
